index:ID,rank,src,name,movie_en,year,:LABEL
1000,1,http://movie.mtime.com/12231/,肖申克的救赎,The Shawshank Redemption,1994,movie
1001,2,http://movie.mtime.com/99547/,盗梦空间,Inception,2010,movie
1002,3,http://movie.mtime.com/10054/,阿甘正传,Forrest Gump,1994,movie
1003,4,http://movie.mtime.com/12281/,辛德勒的名单,Schindler's List,1993,movie
1004,5,http://movie.mtime.com/10968/,教父,The Godfather,1972,movie
1005,6,http://movie.mtime.com/98604/,海豚湾,The Cove,2009,movie
1006,7,http://movie.mtime.com/52952/,机器人总动员,WALL·E,2008,movie
1007,8,http://movie.mtime.com/12599/,这个杀手不太冷,Léon,1994,movie
1008,9,http://movie.mtime.com/51378/,蝙蝠侠：黑暗骑士,The Dark Knight,2008,movie
1009,10,http://movie.mtime.com/10190/,霸王别姬,Farewell My Concubine,1993,movie
1010,11,http://movie.mtime.com/11982/,天堂电影院,Nuovo cinema Paradiso,1988,movie
1011,12,http://movie.mtime.com/11234/,乱世佳人,Gone with the Wind,1939,movie
1012,13,http://movie.mtime.com/227434/,寻梦环游记,Coco,2017,movie
1013,14,http://movie.mtime.com/13367/,十二怒汉,12 Angry Men,1957,movie
1014,15,http://movie.mtime.com/11550/,千与千寻,Spirited Away,2001,movie
1015,16,http://movie.mtime.com/11925/,泰坦尼克号,Titanic,1997,movie
1016,17,http://movie.mtime.com/10288/,搏击俱乐部,Fight Club,1999,movie
1017,18,http://movie.mtime.com/11319/,美国往事,Once Upon a Time in America,1984,movie
1018,19,http://movie.mtime.com/10970/,教父2,The Godfather: Part II,1974,movie
1019,20,http://movie.mtime.com/83276/,海洋,Océans,2009,movie
1020,21,http://movie.mtime.com/11524/,七武士,The Seven Samurai,1954,movie
1021,22,http://movie.mtime.com/45997/,阿凡达,Avatar,2009,movie
1022,23,http://movie.mtime.com/10746/,海上钢琴师,The Legend of 1900,1998,movie
1023,24,http://movie.mtime.com/93049/,三傻大闹宝莱坞,Three Idiots,2009,movie
1024,25,http://movie.mtime.com/51119/,星际穿越,Interstellar,2014,movie
1025,26,http://movie.mtime.com/125424/,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,2012,movie
1026,27,http://movie.mtime.com/63105/,少年派的奇幻漂流,Life of Pi,2012,movie
